title,speciality,description,technologies,full_text,source
Labyrinth Generating,Программная инженерия,"Курсовая работа по дисциплине ""Высокоуровневый язык программирования Python""",Python,,GitHub
Fashion Supply Chain Optimization,Программная инженерия,"Курсовая работа по дисциплине ""Теория принятия решений""",Python,,GitHub
Gui Sqlite3,Программная инженерия,Курсовая работа по python с графическим интерфейсом и БД sqlite3,Python,"# GUI-sqlite3
<h2>Курсовая работа по python с графическим интерфейсом и БД sqlite3</h2><br>
&nbsp&nbsp&nbspВ данном приложении использовался PyQt5 для создания просто графического интерфейсом, отображающего содержимое таблиц БД и кнопок для взаимодействия с ней. В качестве СУБД была использовала sqlite3 с соответствующей библиотекой python. Для создания потоков также был использовал PyQt5. Дополнительно была добавлена возможность экспорта данных из БД в файлы с разрешением <i>.xml</i> и <i>.json</i>.
<br>UPD<br>
<li><i>В папке ""alpha"" расположено примитивное консольное решение данной задачи.</i></li>
<li><i>В папке ""ui files"" расположены файлы графического интерфейса, создаваемые Qt Designer.</li></i>
",GitHub
Pythonprojectfortelegrammbot,Программная инженерия,Курсовая работа,Python,,GitHub
Kursach,Программная инженерия,Курсовая работа по Python Basic,Python,,GitHub
2D Jrpg,Программная инженерия,Курсовая Работа: 2D JRPG python,Python,,GitHub
Course Python Gr105,Программная инженерия,Курсовая работа по предмету Python: продвинутый уровень. ,Python,"# Система управления подписками

Полноценная подписочная модель с поддержкой платежей, автоматического списания средств и управления жизненным циклом подписок.

# Для проверки работы можно воспользоваться файлом Инструкция_по_работе_курсача_v2.docx

## Возможности

- ✅ Ролевая модель (администратор/пользователь)
- ✅ Интеграция с платежной системой (Yoomoney API + фейковая реализация для тестирования)
- ✅ Автоматическое списание средств по расписанию (Celery)
- ✅ Система уведомлений
- ✅ Управление промо-кодами и акциями
- ✅ Система возвратов
- ✅ История транзакций
- ✅ Обработка edge cases:
  - Недоступность платежной системы
  - Недостаток средств
  - Истечение акций
  - Конкурентные операции над балансом пользователя

## Технологии

- Django 4.2
- Django REST Framework
- Celery + Redis (для фоновых задач)
- SQLite (для разработки, можно заменить на PostgreSQL)

## Установка

1. Установите зависимости:

pip install -r requirements.txt


2. Создайте файл `.env` в корне проекта:

SECRET_KEY=your-secret-key-here
DEBUG=True
USE_FAKE_PAYMENT=True
CELERY_BROKER_URL=redis://localhost:6379/0
CELERY_RESULT_BACKEND=redis://localhost:6379/0

# Для Yoomoney (если не используете фейковую систему)
YOOMONEY_CLIENT_ID=your-client-id
YOOMONEY_CLIENT_SECRET=your-client-secret


3. Примените миграции:

python manage.py makemigrations
python manage.py migrate


4. Создайте суперпользователя:

python manage.py createsuperuser


5. Запустите Redis (для Celery):

# Windows (с Chocolatey)
choco install redis-64

# Linux/Mac
redis-server


6. Запустите Celery worker:

celery -A subscription_service worker --loglevel=info


7. Запустите Celery beat (для периодических задач):

celery -A subscription_service beat --loglevel=info


8. Запустите Django сервер:

python manage.py runserver


## API Endpoints

### Аутентификация
- `POST /api/users/register/` - Регистрация пользователя
- `GET /api/users/me/` - Информация о текущем пользователе

### Пользователи
- `GET /api/users/` - Список пользователей (только свои для обычных пользователей)
- `POST /api/users/deposit/` - Пополнение баланса

### Тарифные планы
- `GET /api/plans/` - Список активных тарифных планов
- `GET /api/plans/{id}/` - Детали тарифного плана

### Подписки
- `GET /api/subscriptions/` - Список подписок
- `POST /api/subscriptions/create_subscription/` - Создание подписки
- `GET /api/subscriptions/{id}/` - Детали подписки
- `POST /api/subscriptions/{id}/cancel/` - Отмена подписки
- `POST /api/subscriptions/{id}/toggle_auto_renew/` - Переключение автопродления

### Транзакции
- `GET /api/transactions/` - История транзакций
- `GET /api/transactions/{id}/` - Детали транзакции
- `POST /api/transactions/refund/` - Возврат средств

### Промо-коды
- `GET /api/promotions/` - Список активных промо-кодов
- `GET /api/promotions/validate/{code}/` - Проверка валидности промо-кода

### Уведомления
- `GET /api/notifications/` - Список уведомлений
- `POST /api/notifications/{id}/mark_read/` - Отметить как прочитанное
- `POST /api/notifications/mark_all_read/` - Отметить все как прочитанные
- `GET /api/notifications/unread_count/` - Количество непрочитанных

### Административные endpoints
- `GET/POST/PUT/DELETE /api/admin/plans/` - Управление тарифными планами
- `GET/POST/PUT/DELETE /api/admin/promotions/` - Управление промо-кодами

## Примеры использования

### Создание подписки с промо-кодом

curl -X POST http://localhost:8000/api/subscriptions/create_subscription/ \
  -H ""Content-Type: application/json"" \
  -H ""Cookie: sessionid=your-session-id"" \
  -d '{
    ""plan_id"": 1,
    ""promotion_code"": ""PROMO2024""
  }'

### Пополнение баланса

curl -X POST http://localhost:8000/api/users/deposit/ \
  -H ""Content-Type: application/json"" \
  -H ""Cookie: sessionid=your-session-id"" \
  -d '{
    ""amount"": ""1000.00""
  }'


### Возврат средств

curl -X POST http://localhost:8000/api/transactions/refund/ \
  -H ""Content-Type: application/json"" \
  -H ""Cookie: sessionid=your-session-id"" \
  -d '{
    ""transaction_id"": ""uuid-here"",
    ""amount"": ""500.00"",
    ""reason"": ""Возврат по запросу клиента""
  }'


## Периодические задачи (Celery Beat)

Система автоматически выполняет следующие задачи:

1. process_auto_renewals - Каждый час
   - Автоматическое продление активных подписок
   - Обработка ошибок платежей
   - Приостановка подписок при недостатке средств

2. send_subscription_expiring_notifications - Ежедневно в 9:00
   - Уведомления о скором истечении подписок (за 3 дня)

3. send_low_balance_notifications - Ежедневно в 10:00
   - Уведомления о низком балансе (менее 100 руб.)

4. check_expired_subscriptions - Ежедневно в 0:00
   - Помечает истекшие подписки как expired

## Обработка Edge Cases

### 1. Недоступность платежной системы
- Проверка доступности перед каждой операцией
- Сохранение транзакции в статусе `pending`
- Автоматическая повторная попытка при следующем запуске задачи
- Уведомление пользователя об ошибке

### 2. Недостаток средств
- Проверка баланса перед списанием
- Приостановка подписки при недостатке средств
- Уведомление пользователя о необходимости пополнения

### 3. Истечение акций
- Валидация промо-кода при создании подписки
- Проверка срока действия и количества использований
- Автоматическая проверка при применении

### 4. Конкурентные операции
- Использование `select_for_update()` для блокировки строк БД
- Транзакции для атомарности операций
- Проверка баланса после блокировки

## Структура проекта

course/
├── subscription_service/      # Основной проект Django
│   ├── settings.py            # Настройки проекта
│   ├── urls.py                # URL конфигурация
│   ├── celery.py              # Конфигурация Celery
│   └── ...
├── subscriptions/             # Приложение подписок
│   ├── models.py              # Модели данных
│   ├── views.py               # API endpoints
│   ├── serializers.py         # Сериализаторы
│   ├── services/              # Бизнес-логика
│   │   ├── subscription_service.py
│   │   ├── refund_service.py
│   │   └── notification_service.py
│   ├── payment/               # Платежная система
│   │   ├── base.py            # Базовый класс провайдера
│   │   ├── fake.py            # Фейковая реализация
│   │   └── yoomoney.py        # Yoomoney интеграция
│   ├── tasks.py               # Celery задачи
│   └── ...
├── requirements.txt           # Зависимости
├── manage.py                  # Django management script
└── README.md                  # Документация


## Тестирование

Для тестирования с фейковой платежной системой:

from subscriptions.payment.fake import FakePaymentProvider

# Установка доступности системы
FakePaymentProvider.set_availability(True)

# Установка вероятности ошибок (0.0 - 1.0)
FakePaymentProvider.set_failure_rate(0.1)  # 10% ошибок


## Администрирование

Доступ к админ-панели Django:

http://localhost:8000/admin/


В админ-панели можно:
- Управлять пользователями
- Создавать и редактировать тарифные планы
- Управлять промо-кодами
- Просматривать подписки и транзакции
- Управлять уведомлениями

## Безопасность

- Использование транзакций БД для атомарности операций
- Блокировка строк для предотвращения race conditions
- Валидация всех входных данных
- Проверка прав доступа на уровне API
- Логирование всех операций

## Расширение функциональности

### Добавление нового платежного провайдера

1. Создайте класс, наследующийся от `PaymentProvider`
2. Реализуйте методы: `create_payment`, `check_payment_status`, `refund_payment`, `is_available`
3. Обновите `PaymentProviderFactory` для использования нового провайдера

### Добавление email-уведомлений

1. Настройте SMTP в `.env`
2. Расширьте `NotificationService` для отправки email
3. Используйте Django email backend

### Чтобы запустить фронт, надо перейти в корень папки frontend через cd и прописать там npm run dev. Работает только с включенным сервером django 
",GitHub
Kursach Tfl,Программная инженерия,Курсовая работа по Теории формальных языков.,Python,"# kursach_tfl
 Курсовая работа по Теории формальных языков.
",GitHub
Project Doctor Who,Программная инженерия,Курсовая работа - Игровое приложение на Python(Pygame),Python,,GitHub
Beauty Salon System,Программная инженерия,"Курсовая работа ""База данных салона красоты"".",Python,,GitHub
Pc Parts Kurs,Программная инженерия,курсовая работа по учету компьютерных запчастей,Python,,GitHub
Sudoku Dlya Kuckoldu,Программная инженерия,Курсовая работа Судоку написанная на Vue.js + Python,JavaScript,"# sudoku_dlya_kuckoldu

FrontEnd:
TypeScript,
Vue.js,
VueX,
Vue-CLI,
BootStrap

BackEnd:
Flask,

Классный
Универсальный
Код
Обобщающий
Любовь
Для
Университета
",GitHub
Comp Graphic,Программная инженерия,"Лабораторные работы и курсовая работа по дисциплине ""Компьютерная графика""",Python,,GitHub
Space Invader,Программная инженерия,Курсовая работа Прикладное программирование на Python 2 курс 4 семестр,Python,"# Space-Invader
Курсовая работа Прикладное программирование на Python 2 курс 4 семестр
",GitHub
Muzmarket,Программная инженерия,Курсовая работа по базам данных 3й курс. Прототип онлайн-магазина музыкальных инструментов.,HTML,,GitHub
Pysast,Программная инженерия,"Сканер уязвимостей для кода Python. Курсовая работа по дисциплине ""Информационная безопасность"". ВГТУ бПАС-221. 2025",Python,,GitHub
